TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20241204T3:00:00.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:01.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:02.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:03.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:04.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:05.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:06.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:07.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:08.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:09.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:10.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:11.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0,0.002
20241204T3:00:12.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:13.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:14.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:15.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:16.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:17.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:18.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:19.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:20.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:21.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:22.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:23.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:24.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:25.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:26.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:27.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:28.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:29.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
